title,rank,date,artist,url,region,chart,trend,streams
Cake By The Ocean,53,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Global,top200,MOVE_DOWN,830889
Party Monster,54,2017-01-01,The Weeknd,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,Global,top200,MOVE_UP,829599
Sorry,55,2017-01-01,Justin Bieber,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,Global,top200,MOVE_DOWN,827170
Ride,56,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Global,top200,MOVE_DOWN,825398
La Bicicleta,57,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Global,top200,MOVE_UP,810362
Perfect Strangers,58,2017-01-01,"Jonas Blue, JP Cooper",https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,Global,top200,MOVE_DOWN,806283
Panda,59,2017-01-01,Desiigner,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,Global,top200,MOVE_UP,788804
Too Good,60,2017-01-01,"Drake, Rihanna",https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,Global,top200,MOVE_UP,786785
"How Far I'll Go - From ""Moana""",61,2017-01-01,Alessia Cara,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,Global,top200,MOVE_UP,778773
Sexual,62,2017-01-01,"NEIKED, Dyo",https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,Global,top200,MOVE_DOWN,770804
Into You,63,2017-01-01,Ariana Grande,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,Global,top200,MOVE_UP,762502
Stressed Out,64,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,Global,top200,MOVE_DOWN,758614
Deja Vu,65,2017-01-01,J. Cole,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,Global,top200,MOVE_UP,748367
Shaky Shaky,66,2017-01-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Global,top200,MOVE_UP,735912
Faded,67,2017-01-01,Alan Walker,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,Global,top200,MOVE_DOWN,713049
The Greatest (feat. Kendrick Lamar),68,2017-01-01,Sia,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,Global,top200,MOVE_DOWN,709411
Controlla,69,2017-01-01,Drake,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,Global,top200,MOVE_UP,687222
Light It Up (feat. Nyla & Fuse ODG) - Remix,70,2017-01-01,Major Lazer,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,Global,top200,MOVE_DOWN,686053
Traicionera,71,2017-01-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Global,top200,MOVE_UP,685732
X (feat. Future),72,2017-01-01,"21 Savage, Metro Boomin",https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,Global,top200,MOVE_UP,673320
Send My Love (To Your New Lover),73,2017-01-01,Adele,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,Global,top200,MOVE_UP,672465
