,Song,Artist,pos,neu,neg,Sentiment
137,The Mack,"Nevada, Mark Morrison, Fetty Wap",6.944444444444445,87.5,5.555555555555555,Positive
138,Que Bonito,Banda XXI,0.0,0.0,0.0,
139,El chisme,Reykon,0.0,100.0,0.0,Neutral
140,Hymn for the Weekend - Seeb Remix,Coldplay,3.6363636363636362,94.54545454545455,1.8181818181818181,Positive
141,Acrcate (feat. Nicky Jam) - Remix,De La Ghetto,1.9230769230769231,96.15384615384616,1.9230769230769231,Neutral
142,Si ella quisiera,Justin Quiles,1.282051282051282,98.71794871794873,0.0,Positive
143,El Bombn,Los Palmeras,0.0,100.0,0.0,Neutral
144,Hello,"KAROL G, Ozuna",2.2222222222222223,94.44444444444444,3.3333333333333335,Negative
145,Cuando Me Enamoro,Banda XXI,0.0,0.0,0.0,
146,Yo tambien,Rombai,3.6363636363636362,96.36363636363636,0.0,Positive
147,Soy Cordobes,Rodrigo,0.0,83.33333333333334,16.666666666666664,Negative
148,Linda,Marka Akme,0.0,100.0,0.0,Neutral
149,Nunca me Faltes,Antonio Rios,7.142857142857142,92.85714285714286,0.0,Positive
150,Segundas Intenciones,Rombai,0.0,0.0,0.0,
151,La Ventanita,Grupo Sombras,0.0,0.0,0.0,
152,Chica Real,El Villano,0.0,0.0,0.0,
153,Pierde Los Modales,"J Balvin, Daddy Yankee",2.631578947368421,94.73684210526315,2.631578947368421,Neutral
154,Una Cita - Remix,"Alkilados, Nicky Jam, J Alvarez, El Roockie",2.2556390977443606,97.74436090225564,0.0,Positive
155,743,Miranda!,6.896551724137931,93.10344827586206,0.0,Positive
156,Olvdala,Banda XXI,0.0,0.0,0.0,
157,La Cumbita,Tambï¿½ Tambï¿½,0.0,100.0,0.0,Neutral
158,Si me dices que s (feat. Nicky Jam),Cosculluela,2.380952380952381,95.23809523809523,2.380952380952381,Neutral
159,Otra copa (feat. Farruko),Justin Quiles,1.0638297872340425,97.87234042553192,1.0638297872340425,Neutral
160,Hola,Joey Montana,0.0,100.0,0.0,Neutral
161,No Me Olvides,La Beriso,0.0,0.0,0.0,
162,Adios,Rombai,0.0,0.0,0.0,
163,Ac Estoy,El Reja,3.125,96.875,0.0,Positive
164,Stressed Out,Twenty One Pilots,0.0,0.0,0.0,
165,Si Ella Quisiera - Remix,"Justin Quiles, Yandel, Gadiel",0.0,98.9795918367347,1.0204081632653061,Negative
166,Amores Como el Nuestro,Los Charros,0.0,0.0,0.0,
167,Taste Of Love,Maxi Trusso,0.0,0.0,0.0,
